番号,問題,選択肢1,選択肢2,正解
1,再興感染症はどっち？,新型コロナウィルス感染症,結核,2
2,腸炎ビブリオはどこに多い？,魚介類,肉,1
3,職場の換気管理はどっち？,作業管理,作業環境管理,2
4,〜病院のベッド数は何床以上？,1床,20床,2
5,労災の申請先？,保健所,労働基準監督署,2
6,最多の世帯構成は？,単独世帯,三世帯,1
7,保健師の職種区分は？,業務独占職,名称独占職,2
8,WHOが採択した「健康づくり」の国際文書は？,オタワ憲章,児童憲章,1
9,喫煙率の高い性別は？,男性,女性,1
10,イタイイタイ病の原因は？,カドミウム,有機水銀,1
11,介護保険の第2号被保険者の年齢範囲,20歳以上40歳未満,40歳以上65歳未満,2
12,要介護認定の申請先は？,高齢者施設,市町村,2
13,食事・衣服・医療などの世話を怠る,ネグレクト,心理的虐待,1
14,日本の総人口は約何人？,1億人,1億2600万人,2
15,黄色ブドウ球菌の毒素は？,エンテロトキシン,ベロ毒素,1
16,診療所のベッド数は？,20床,19床,2
17,医療費が最もかかる年齢層は？,若年層,高齢者層,2
18,死亡原因1位は？,脳血管障害,悪性新生物,2
19,後期高齢者医療制度の対象年齢は？,75歳以上,20歳未満,1
20,学校の感染症による出席停止の根拠法,学校保健安全法,学校給食法,1
21,出生率（人口千人対）は？,6.8,1.22,1
22,運動習慣が最も高い年齢層は？,20代,70代,2
23,統合失調症の陽性症状は？,自閉,幻覚,2
24,粗死亡率（人口千人対）は？,11.1,1110,1
